State, County, FIPS, Total,,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,,,,,,,,,,,,,,
AK,Kenai Peninsula,2122,0.868015279532787,,0.0368709610829275,0.551060649810208,0.0347280378537489,0.034860937170163,0.0820200300654824,0,0.020198780908215,0.0997255798874999,0.00855030275454234,,,,,,,,,,,,,,
AK,Ketchikan Gateway,2130,0.137266801272295,,0.0164499889030098,0.0814418391440916,0.00779873121241533,0,0.0121742572614678,0,0.00290851944122132,0.0143599652997029,0.00213350001038674,,,,,,,,,,,,,,
AK,Kodiak Island,2150,0.226857547573142,,0.00956177043600542,0.0788734210088226,0.00689498140561367,0,0.0120547512419314,0,0.0196432709643585,0.0969829127989173,0.0028464397174936,,,,,,,,,,,,,,
AK,Lake and Peninsula,2164,0.086269205805895,,0.000373254380497457,0.000525502222158525,0.000917668351771986,0,0.00292722547855319,0,0.0132374897096749,0.0653562381582296,0.00293182750500932,,,,,,,,,,,,,,
AK,Matanuska-Susitna,2170,0.288135601096281,,0.0341838791628775,0.00914396948644654,0.0397103882223951,0,0.0897064945902812,0,0.0181726308869806,0.0897220567206716,0.00749618202662868,,,,,,,,,,,,,,
AK,Nome,2180,0.206773321737438,,0.00723491115194904,0.000525502222158525,0.00437890734130093,0.00151182119007966,0.0130834117174656,0,0.0299218725137672,0.147730504630163,0.00238639097055417,,,,,,,,,,,,,,
AK,North Slope,2185,2.79210716838296,,0.0161698200393235,2.39099642702376,0.0042372665685214,0.259555431169527,0.00798328274055702,0,0.0186047292694398,0.0918554160414278,0.00270479553040466,,,,,,,,,,,,,,
AK,Northwest Arctic,2188,0.215742270503678,,0.00516658560594469,0.000000607623756074015,0.00297993226651539,0.0147852491152353,0.00945188048544283,0,0.0305833915063239,0.150996562129091,0.00177806177136856,,,,,,,,,,,,,,
AK,Prince of Wales-Oute,2201,0.0711353005614001,,0.00248475913044757,0.00598903264609365,0.00292195356312691,0,0.010411944202488,0,0.00724698766830042,0.035779885221385,0.00630073812955855,,,,,,,,,,,,,,
AK,Sitka,2220,0.0689808378421684,,0.00996955734322596,0.0111759627056568,0.00431606967558713,0,0.0071182431149087,0,0.00586723045377774,0.0289677367449195,0.00156603780409261,,,,,,,,,,,,,,
AK,Skagway-Hoonah-Angoo,2232,0.0631315758598265,,0.00159015472794183,0.00315301333295114,0.00196547460397193,0,0.00595362143609754,0,0.00829242164674424,0.0409414100382861,0.0012354800738337,,,,,,,,,,,,,,
AK,Southeast Fairbanks,2240,0.0841614892346892,,0.00206157542504241,0.00283578122332978,0.00241337635278325,0,0.0101612132314547,0,0.0110381341371656,0.0544975631919107,0.0011538456730028,,,,,,,,,,,,,,
AK,Valdez-Cordova,2261,0.240386660128592,,0.00767062370933232,0.132706478610324,0.00610452460811152,0.0353445052041378,0.0182707069981911,0,0.00625883738998695,0.0309011815578188,0.00312980205068986,,,,,,,,,,,,,,
AK,Wade Hampton,2270,0.177849012500787,,0.00280957031386664,0.000525502222158525,0.00251235512385888,0,0.0130925909010445,0,0.0265244733732355,0.130956839377963,0.00142768118866016,,,,,,,,,,,,,,
AK,Wrangell-Petersburg,2280,0.0798093471650179,,0.00470828032587947,0.00834186689991615,0.00389690617668694,0,0.00842933083008313,0,0.00888057610011669,0.0438452507754699,0.00170713605686565,,,,,,,,,,,,,,
AK,Yakutat,2282,0.0544593237674035,,0.000386417172535224,0.0344297621722885,0.000424784468045844,0,0.0013601296182539,0,0.00290146109064663,0.0143251163360301,0.000631652909603285,,,,,,,,,,,,,,
