USPS,FIPS,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                    
TN,47181,1639798,Wayne County,1901310603,4023299,734.1,1.553,35.242687,-87.819703
TN,47183,1639799,Weakley County,1503135455,3679548,580.364,1.421,36.303523,-88.720785
TN,47185,1639800,White County,975578971,7128063,376.673,2.752,35.927062,-85.455766
TN,47187,1639801,Williamson County,1508925443,3028823,582.599,1.169,35.894972,-86.896958
TN,47189,1639802,Wilson County,1478433235,32037460,570.826,12.37,36.148476,-86.29021
TX,48001,1383786,Anderson County,2752126295,39884082,1062.602,15.399,31.841266,-95.661744
TX,48003,1383787,Andrews County,3886829704,957046,1500.713,0.37,32.312258,-102.640206
TX,48005,1383788,Angelina County,2066235308,173343492,797.778,66.928,31.251951,-94.611056
TX,48007,1383789,Aransas County,652868851,714621093,252.074,275.917,28.104225,-96.977983
TX,48009,1383790,Archer County,2339043608,57777594,903.11,22.308,33.616305,-98.687267
TX,48011,1383791,Armstrong County,2354581881,12219756,909.109,4.718,34.964179,-101.356636
TX,48013,1383792,Atascosa County,3158604888,4995763,1219.544,1.929,28.894296,-98.528187
TX,48015,1383793,Austin County,1674448899,25577195,646.508,9.875,29.891901,-96.27017
TX,48017,1383794,Bailey County,2141394831,1771770,826.797,0.684,34.067521,-102.830345
TX,48019,1383795,Bandera County,2048578865,17288401,790.961,6.675,29.755748,-99.260682
TX,48021,1383796,Bastrop County,2300298811,19154980,888.15,7.396,30.103128,-97.311859
TX,48023,1383797,Baylor County,2246766775,86983599,867.482,33.585,33.618172,-99.197228
TX,48025,1383798,Bee County,2279809490,246410,880.239,0.095,28.416077,-97.742586
TX,48027,1383799,Bell County,2722118322,95364952,1051.016,36.821,31.04211,-97.481921
TX,48029,1383800,Bexar County,3211119983,42127509,1239.82,16.266,29.448671,-98.520147
TX,48031,1383801,Blanco County,1836951743,10814611,709.251,4.176,30.265605,-98.399977
TX,48033,1383802,Borden County,2324365341,22297741,897.443,8.609,32.744062,-101.433033
TX,48035,1383803,Bosque County,2545902347,50672066,982.978,19.565,31.900764,-97.637632
TX,48037,1383804,Bowie County,2292153748,98320026,885.006,37.962,33.446051,-94.422375
TX,48039,1383805,Brazoria County,3516429692,649792694,1357.701,250.886,29.167817,-95.434647
TX,48041,1383806,Brazos County,1516296157,15002941,585.445,5.793,30.656725,-96.302389
TX,48043,1383807,Brewster County,16015795085,22064004,6183.733,8.519,29.808997,-103.252458
TX,48045,1383808,Briscoe County,2330990994,4068667,900.001,1.571,34.525172,-101.205893
TX,48047,1383809,Brooks County,2443301936,741628,943.364,0.286,27.034994,-98.215276
TX,48049,1383810,Brown County,2446070964,32428770,944.433,12.521,31.764103,-98.99847
TX,48051,1383811,Burleson County,1706870641,46064657,659.026,17.786,30.493487,-96.622091
TX,48053,1383812,Burnet County,2575116582,69940565,994.258,27.004,30.789616,-98.201195
TX,48055,1383813,Caldwell County,1412208030,4933872,545.257,1.905,29.840422,-97.631097
TX,48057,1383814,Calhoun County,1312710613,1361907833,506.84,525.836,28.445366,-96.5833
TX,48059,1383815,Callahan County,2329363248,4898788,899.372,1.891,32.29315,-99.372249
TX,48061,1383816,Cameron County,2307478146,998531503,890.922,385.535,26.102923,-97.478958
TX,48063,1383817,Camp County,507188128,19183611,195.826,7.407,32.974581,-94.979085
TX,48065,1383818,Carson County,2383359553,10064255,920.22,3.886,35.405496,-101.355356
TX,48067,1383819,Cass County,2426723555,60499735,936.963,23.359,33.083698,-94.357579
TX,48069,1383820,Castro County,2316572704,12585110,894.434,4.859,34.533621,-102.258786
TX,48071,1383821,Chambers County,1546578832,709774725,597.137,274.046,29.703933,-94.668875
TX,48073,1383822,Cherokee County,2727030862,24032104,1052.913,9.279,31.843859,-95.156504
TX,48075,1383823,Childress County,1803680222,44835136,696.405,17.311,34.529337,-100.208336
TX,48077,1383824,Clay County,2819774443,72604292,1088.721,28.033,33.785904,-98.212918
TX,48079,1383825,Cochran County,2007629814,229068,775.15,0.088,33.60844,-102.830449
TX,48081,1383826,Coke County,2360695668,42789532,911.47,16.521,31.877105,-100.635236
TX,48083,1383827,Coleman County,3268424436,50472266,1261.946,19.487,31.914205,-99.346622
TX,48085,1383828,Collin County,2178761906,116235513,841.225,44.879,33.193885,-96.578153
TX,48087,1383829,Collingsworth County,2378750619,2279238,918.441,0.88,34.963358,-100.272135
TX,48089,1383830,Colorado County,2487097169,34737183,960.274,13.412,29.595908,-96.508389
